Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;4123;TV Sudoeste (REDE TV!);
;;;4126;TV UP;
;;;4127;TV Vale do Piquiri;
;;;4128;TVCI;
;;;4201;MIX TV (SC);
;;;4202;RBS TV;
;;;4203;Record News (SC);
;;;4204;Rede Bela Aliança;
;;;4206;ARTV;
;;;4209;Canal 13 - TV Araucária;
;;;4210;Canal 19;
;;;4211;Furb TV;
;;;4212;Mega TV (SC);
;;;4213;Rede TV Aparecida (SC);
;;;4214;Rede Boas Novas;
;;;4216;TV Brasil Esperança;
;;;4218;TV CNT;
;;;4220;TV Futebol;
;;;4221;TV Galega;
;;;4224;TV Mocinha;
;;;4225;TV Mundial (SC);
;;;4226;TV Panorama;
;;;4227;TV Panorama Joinville;
;;;4228;TV Primavera (SC);
;;;4229;TV UFSC (REDE BRASIL);
;;;4230;TV Unisul;
;;;4231;TV Univali;
;;;4232;TVL;
;;;4233;TV Floripa (SC);
;;;4301;Canal 20 (NET Cidade);
;;;4302;COM TV (TVC);
;;;4303;PoaTV;
;;;4304;Rede CNT;
;;;4305;TV a Cabo Ijui Canal 31;
;;;4307;TV Cachoeira;
;;;4308;TV Caxias;
;;;4311;TV Farroupilha;
;;;4312;TV Feevale;
;;;4314;TV Nativa (RS);
;;;4315;TV Pampa Centro (Rede TV!);
;;;4316;TV Pampa Norte (Rede TV!);
;;;4317;TV Pampa Porto Alegre (Rede TV!);
;;;4318;TV Pampa Sul (Rede TV!);
;;;4319;TV Unisinos;
;;;4320;TV Urbana;
;;;4321;TVC;
;;;4322;TVNH;
;;;4323;UCS TV;
;;;4324;Ulbra TV;
;;;4325;UNITV;
;;;4326;UPFTV;
;;;4327;URI TV;
;;;4328;Tv Mundo Maior (RS);
;;;4329;SBT (RS);
;;;4330;Record (RS);
;;;4331;Sistema Sinal Verde de Transmissão;
;;;5001;RBTV Campo Grande;
;;;5002;TV Brasil Pantanal;
;;;5003;TV Campo Grande;
;;;5004;TV Com - Canal 4 NET;
;;;5005;TV Concórdia;
;;;5006;TV Guanandi (BAND);
;;;5007;TV Imaculada Conceição;
;;;5008;TV Morena (GLOBO);
;;;5009;TV MS Record;
;;;5010;TV Pantanal (MS);
;;;5100; TV Centro América (GLOBO);
;;;5101; TV Cidade Verde (BAND);
;;;5102;TV Ambiental (RECORD);
;;;5103;TV Arinos (RECORD);
;;;5104;TV Aripuanã (SBT);
;;;5106;TV Brasil Oeste;
;;;5107;TV Buritis (RECORD);
;;;5110;TV Centro Oeste (SBT);
;;;5111;TV Chapada;
;;;5113;TV Cidade Verde;
;;;5115;TV Cidade (RECORD);
;;;5116;TV Conquista (SBT);
;;;5117;TV Cuiabá;
;;;5118;TV Descalvados (SBT);
;;;5119;TV Estrela;
;;;5120;TV Guaporeí (RECORD);
;;;5121;TV Guarantã (RECORD);
;;;5123;TV Itiquira (SBT);
;;;5124;TV Juara (SBT);
;;;5125;TV Lucas (REDE TV!);
;;;5126;TV Mato Grosso;
;;;5127;TV Miragem (SBT);
;;;5128;TV Mirassol (SBT);
;;;5129;TV Mundial (MT);
;;;5130;TV Mutum (SBT);
;;;5131;TV Nativa (RECORD);
;;;5132;TV Nazaré Sinop;
;;;5133;TV Nhambiquara;
;;;5134;TV Nortão (SBT);
;;;5135;TV Nova Xavantina;
;;;5136;TV Ourominas (SBT);
;;;5137;TV Pantanal (REDE TV!);
;;;5138;TV Pantaneira;
;;;5139;TV Parecis (MT);
;;;5140;TV Piraíba (REDE TV!);
;;;5141;TV Poconé;
;;;5142;TV Primavera (RECORD);
;;;5143;TV Real (SBT);
;;;5144;TV Regional (REDE TV!);
;;;5145;TV Rio Verde (RECORD);
;;;5146;TV Rondon (SBT);
;;;5147;TV Rondonópolis;
;;;5148;TV SAT (REDE TV!);
;;;5149;TV Serra Azul (MT);
;;;5150;TV Sociedade;
